city_id,city_name_cn,metric_year,statutory_debt_balance_100m,raw_value_million_rmb,value_origin,source_doc_id,source_url,evidence_excerpt,source_grade
CN-511600,广安市,2022,561.40000,56140.000,disclosed,SRC-SECONDARY-CEIC-CN-511600,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-sichuan-guangan,CEIC图表：2022年=56140.000百万人民币,D
CN-511600,广安市,2023,678.10000,67810.000,disclosed,SRC-SECONDARY-CEIC-CN-511600,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-sichuan-guangan,CEIC图表：2023年=67810.000百万人民币,D
CN-511600,广安市,2024,812.20000,81220.000,disclosed,SRC-SECONDARY-CEIC-CN-511600,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-sichuan-guangan,CEIC图表：2024年=81220.000百万人民币,D
CN-511700,达州市,2018,461.00000,46100.000,disclosed,SRC-SECONDARY-CEIC-CN-511700,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-sichuan-dazhou,CEIC图表：2018年=46100.000百万人民币,D
CN-511700,达州市,2019,507.00000,50700.000,disclosed,SRC-SECONDARY-CEIC-CN-511700,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-sichuan-dazhou,CEIC图表：2019年=50700.000百万人民币,D
CN-511700,达州市,2020,603.00000,60300.000,disclosed,SRC-SECONDARY-CEIC-CN-511700,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-sichuan-dazhou,CEIC图表：2020年=60300.000百万人民币,D
CN-511700,达州市,2021,740.40000,74040.000,disclosed,SRC-SECONDARY-CEIC-CN-511700,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-sichuan-dazhou,CEIC图表：2021年=74040.000百万人民币,D
CN-511700,达州市,2022,870.70000,87070.000,disclosed,SRC-SECONDARY-CEIC-CN-511700,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-sichuan-dazhou,CEIC图表：2022年=87070.000百万人民币,D
CN-511700,达州市,2023,1006.20000,100620.000,disclosed,SRC-SECONDARY-CEIC-CN-511700,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-sichuan-dazhou,CEIC图表：2023年=100620.000百万人民币,D
CN-511700,达州市,2024,1207.70000,120770.000,disclosed,SRC-SECONDARY-CEIC-CN-511700,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-sichuan-dazhou,CEIC图表：2024年=120770.000百万人民币,D
CN-511800,雅安市,2018,113.00000,11300.000,disclosed,SRC-SECONDARY-CEIC-CN-511800,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-sichuan-yaan,CEIC图表：2018年=11300.000百万人民币,D
CN-511800,雅安市,2019,136.00000,13600.000,disclosed,SRC-SECONDARY-CEIC-CN-511800,https://www.ceicdata.com/zh-hans/china/local-government-debt-prefecture-level-city-outstanding/cn-local-government-debt-outstanding-sichuan-yaan,CEIC图表：2019年=13600.000百万人民币,D
